Timestamp,Load Index,StackTempMbus,StackO2Mbus,SteamPrMbus,SteamTempMbus,Gas Pressure (After PRV),Gas Flow,Fuel flow %,Air flow %,TStack_minus_TSteam
2026-01-30 1:30:00,67,204.3,3.5,8.5,177.8,156.7640991,80.10228729,23.60000038,22.20000076,26.5
2026-01-30 1:31:00,65,203.8,3.7,8.5,177.9,158.2661743,76.38465118,22.89999962,20.70000076,25.9
2026-01-30 1:32:00,63,203,3.9,8.6,178,157.4316864,72.63363647,22.20000076,19.20000076,25
2026-01-30 1:33:00,62,201.2,4,8.6,178,156.6806641,71.51125336,22,19,23.2
2026-01-30 1:34:00,,200.5,3.7,8.3,176.9,,92.68215179,,,23.6
2026-01-30 1:35:00,84,202.8,2.6,8.3,176.8,151.4174347,114.0324707,28.89999962,31.70000076,26
2026-01-30 1:36:00,75,205,2.7,8.4,177.4,156.5256653,96.55000305,26.20000076,26.80000114,27.6
2026-01-30 1:37:00,67,205.8,3.1,8.5,177.7,157.9741058,85.64326477,23.39999962,21.70000076,28.1
2026-01-30 1:38:00,65,204.7,3.7,8.6,178.1,156.5793304,74.69481659,22.70000076,20.39999962,26.6
2026-01-30 1:39:00,,203.7,3.9,8.6,178.1,,72.50846863,,,25.6
2026-01-30 1:40:00,62,202,4.1,8.6,178.1,157.4793701,70.96883392,22,19,23.9
2026-01-30 1:41:00,70,201.1,3.8,8.4,177.1,154.4037018,87.0243454,24.30000114,24.5,24
2026-01-30 1:42:00,76,201.7,3,8.3,176.7,154.2606506,113.7737808,26.30000114,27.10000038,25
2026-01-30 1:43:00,70,204.7,3.2,8.5,177.7,156.0547943,86.340065,24.60000038,24,27
2026-01-30 1:44:00,,204.7,3.5,8.5,177.9,,79.67669678,,,26.8
2026-01-30 1:45:00,64,203.7,3.8,8.6,178.1,156.3647461,73.79774475,22.60000038,20,25.6
2026-01-30 1:46:00,63,202.8,3.9,8.6,178.1,157.2350006,72.0995636,22.20000076,19.39999962,24.7
2026-01-30 1:47:00,80,201.8,3.9,8.5,177.6,154.6242371,76.55989075,27.60000038,29.89999962,24.2
2026-01-30 1:48:00,80,203.3,2.7,8.4,177.1,153.2771454,107.0144424,27.80000114,29.5,26.2
